%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
7442997297008,771,7442997297008,local_origin,201617.555358,1908386.10827,-1.72,-0.0134057646379,-0.0273541664909,0.700387930663,0.713112040027,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,6.35039990387,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7442997297008,772,7442997297008,local_origin,201617.576319,1908386.08581,-1.72,-0.0133593775049,-0.027376896429,0.700152220797,0.713343465862,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,6.35039990387,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7443195297008,773,7443195297008,local_origin,201617.59728,1908386.06336,-1.71,-0.0133796375537,-0.0274775956654,0.700591478442,0.71290781127,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,6.35039990387,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7443414297008,774,7443414297008,local_origin,201617.61824,1908386.0409,-1.71,-0.0135029062861,-0.0272474616166,0.700602446913,0.712903540976,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,6.35039990387,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7443414297008,775,7443414297008,local_origin,201617.63904,1908386.00737,-1.72,-0.0135634426882,-0.0274287164577,0.700453182458,0.713042100945,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,6.35039990387,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7443608297008,776,7443608297008,local_origin,201617.64936,1908385.98507,-1.72,-0.0133729383315,-0.0275066609726,0.70047088581,0.713025305481,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,6.35039990387,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7443805297008,777,7443805297008,local_origin,201617.659679,1908385.96276,-1.72,-0.0134979747957,-0.0273502051625,0.700045618179,0.713446496538,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,6.35039990387,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7444005297008,778,7444005297008,local_origin,201617.669999,1908385.94046,-1.73,-0.0133273015356,-0.0273460248021,0.700287827848,0.713212125619,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,6.35039990387,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7444005297008,779,7444005297008,local_origin,201617.669516,1908385.90724,-1.74,-0.0132116966721,-0.0274961457941,0.700224437659,0.713270740983,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,6.35039990387,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7444204297008,780,7444204297008,local_origin,201617.679675,1908385.87387,-1.74,-0.0134475705971,-0.0274280900042,0.70054747121,0.71295168371,1.76890011415,0.0,0.0,0.0,0.0,0.0,0.0,1.76890011415,0.0,0.0,0.0,0.0,0.0,0.0,7.07560045662,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
7444403297008,781,7444403297008,local_origin,201617.679353,1908385.85172,-1.74,-0.0133113235939,-0.0274367985912,0.700542817623,0.71295847805,1.76890011415,0.0,0.0,0.0,0.0,0.0,0.0,1.76890011415,0.0,0.0,0.0,0.0,0.0,0.0,7.07560045662,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
