%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
809861297008,73,809861297008,local_origin,198468.141938,1907366.87281,0.21,0.0405550772754,-0.0145326126432,0.858483071374,0.511029260455,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,13.9876000713,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
810056297008,74,810056297008,local_origin,198468.119842,1907366.81775,0.21,0.0406354952003,-0.0145954111567,0.858447335764,0.511081111197,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,13.9876000713,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
810056297008,75,810056297008,local_origin,198468.097908,1907366.77377,0.22,0.0407109772478,-0.0147044370225,0.85840255365,0.511147191863,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,13.9876000713,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
810251297008,76,810251297008,local_origin,198468.065494,1907366.74102,0.22,0.0409134234332,-0.0146515560803,0.858393786706,0.511147269025,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,13.9876000713,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
812858297008,77,812858297008,local_origin,198468.464609,1907367.10068,0.23,0.0408704900699,-0.0145597548294,0.858425004446,0.511100898377,3.20409986343,0.0,0.0,0.0,0.0,0.0,0.0,3.20409986343,0.0,0.0,0.0,0.0,0.0,0.0,12.8163994537,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
812858297008,78,812858297008,local_origin,198468.486056,1907367.11144,0.23,0.0408337216855,-0.0148111394138,0.858741811462,0.510564137567,3.20409986343,0.0,0.0,0.0,0.0,0.0,0.0,3.20409986343,0.0,0.0,0.0,0.0,0.0,0.0,12.8163994537,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
813058297008,79,813058297008,local_origin,198468.507502,1907367.1222,0.23,0.040871053979,-0.0147280238976,0.858703324247,0.510628282791,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,13.9876000713,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
813255297008,80,813255297008,local_origin,198468.518307,1907367.13312,0.23,0.0407434873045,-0.014713864991,0.858682875643,0.510673270788,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,13.9876000713,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
813442297008,81,813442297008,local_origin,198468.529111,1907367.14404,0.24,0.0409016692315,-0.0147389653987,0.858645742508,0.510722336722,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,13.9876000713,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
813442297008,82,813442297008,local_origin,198468.507827,1907367.14435,0.23,0.0409480514025,-0.0146674244563,0.858601000562,0.510795894248,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,3.49690001783,0.0,0.0,0.0,0.0,0.0,0.0,13.9876000713,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0
